(+) Linderatin;CC(C)[C@H]1CCC(=C[C@@H]1c2c(O)cc(O)c(C(=O)CCc3ccccc3)c2O)C
(-) epi-Adunctin E;COc1cc(O)c(C(=O)CCc2ccccc2)c3O[C@@H]4[C@@H]([C@H](CC[C@]4(C)OC)C(C)C)c13
(-) Linderatin;CC(C)[C@@H]1CCC(=C[C@@H]1c2c(O)cc(O)c(C(=O)CCc3ccccc3)c2O)C
(-) Methyllinderatin;COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1[C@H]3C=C(C)CC[C@H]3C(C)C
(-) Neolinderatin;CC(C)[C@@H]1CCC(=C[C@@H]1c2c(O)c([C@H]3C=C(C)CC[C@H]3C(C)C)c(O)c(C(=O)CCc4ccccc4)c2O)C
(±) Adunctin B;COc1cc(O)c(C(=O)CCc2ccccc2)c3O[C@@]4(C)C=C[C@@H](C[C@H]4c13)C(C)C
1000268-43-8;COc1c(O)ccc(C(=O)CCc2ccc(O)cc2)c1O
100634-10-4;Oc1ccc(C(=O)CCc2ccc(O)c(O)c2)c(O)c1
104937-47-5 (R);Oc1cc(O)c(C(=O)CCc2ccccc2)c3OC(=O)C[C@@H](c4ccccc4)c13
1051926-06-7;OC[C@H]1O[C@@H](Oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2C(=O)CCc4ccccc4)[C@H](O)[C@@H](O)[C@@H]1O
1088-08-0;Oc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1
113866-89-0;CC(=CCC\C(=C\Cc1c(O)c(O)ccc1CCC(=O)c2ccc(O)cc2O)\C)C
113900-91-7;COc1ccc(C(=O)CCc2ccc(OC)c(O)c2C\C=C(/C)\CCC=C(C)C)c(O)c1
116980-99-5;CC(C)[C@H]1CCC(=CC1c2c(OC(=O)C)cc(OC(=O)C)c(C(=O)CCc3ccccc3)c2OC(=O)C)C
117614-80-9 (R);COc1cc(O)ccc1C(=O)[C@H](O)Cc2ccc(O)c(O)c2
117614-80-9 (S);COc1cc(O)ccc1C(=O)[C@@H](O)Cc2ccc(O)c(O)c2
117614-82-1 (R);COc1cc(O)ccc1C(=O)[C@H](O)Cc2ccc(O)cc2
117614-82-1 (S);COc1cc(O)ccc1C(=O)[C@@H](O)Cc2ccc(O)cc2
1177716-02-7;O[C@H]1[C@H](O)[C@@H](COC(=O)c2cc(O)c(O)c(O)c2)O[C@@H](Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)[C@@H]1O
117842-21-4;COc1c(O)c(C(=O)CCc2ccccc2)c(OC)c(OC)c1OC
1196133-44-4;COc1c(C)c(O)cc(O)c1CCC(=O)c2ccccc2
1198475-52-3;COc1c(C)c(O)c(C(=O)CCc2ccc(O)cc2)c(OC)c1C
1198475-53-4;COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC)c1C
1208232-15-8;O[C@@H]1[C@@H](O)[C@H](Oc2ccc(CCC(=O)c3c(O)cc(O)cc3O)cc2)O[C@@H]([C@H]1O)C(=O)O
121781-36-0;COc1cc(O)cc(O)c1C(=O)CCc2ccc3OCOc3c2
121781-37-1 (RR);COc1ccc(CCC(=O)c2c(OC)cc(OC)c(C([C@H](C)[C@H](C)Cc3ccc(OC)cc3)c4ccc(OC)cc4)c2OC)cc1
121781-37-1 (RS);COc1ccc(CCC(=O)c2c(OC)cc(OC)c(C([C@H](C)[C@@H](C)Cc3ccc(OC)cc3)c4ccc(OC)cc4)c2OC)cc1
121781-37-1 (SR);COc1ccc(CCC(=O)c2c(OC)cc(OC)c(C([C@@H](C)[C@H](C)Cc3ccc(OC)cc3)c4ccc(OC)cc4)c2OC)cc1
121781-37-1 (SS);COc1ccc(CCC(=O)c2c(OC)cc(OC)c(C([C@@H](C)[C@@H](C)Cc3ccc(OC)cc3)c4ccc(OC)cc4)c2OC)cc1
1222818-87-2;COc1cc(OC)c(C(=O)CCc2ccccc2)c(O)c1OC
122585-63-1;COc1cc(O)c(C\C=C(/C)\CCC=C(C)C)c(O)c1C(=O)CCc2ccc(O)c(O)c2
123134-05-4;COc1ccc(CCC(=O)c2ccc(O)cc2O)c(C\C=C(/C)\CCC=C(C)C)c1OC
125574-35-8;Cc1c(O)c2[C@@H](O)CC(C)(C)Oc2c(C(=O)CCc3ccccc3)c1O
125574-36-9;Cc1c(O)c2C[C@@H](O)C(C)(C)Oc2c(C(=O)CCc3ccccc3)c1O
1263062-45-8;C[C@H]1OC(Oc2cc(O)cc(O)c2C(=O)CCc3ccccc3)[C@@H](O)[C@@H](O)[C@@H]1O
1265619-21-3;O[C@H]1CO[C@H](Oc2cc(CCC(=O)c3c(O)cc(O)cc3O)ccc2O)[C@@H](O)[C@@H]1O
130893-62-8;COc1ccc(CCC(=O)c2c(O)cc(O)cc2OC)cc1OC
1320346-19-7;OC[C@H]1O[C@@H](Oc2ccccc2C(=O)CCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]1O
133347-38-3 (R);O[C@H](CC(=O)c1ccc(O)cc1O)c2ccccc2
133347-38-3 (S);O[C@@H](CC(=O)c1ccc(O)cc1O)c2ccccc2
135383-81-2;Oc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1C=O
137196-97-5;COc1ccc2[C@H](CC(=O)c3c(O)cc(O)cc3O)[C@H](Cc2c1OC)C(C)(C)O
1379647-91-2;O[C@@H]1[C@@H](COC(=O)c2ccc(O)cc2)O[C@@H](Oc3cc(O)ccc3C(=O)CCc4ccc(O)cc4)[C@H](O)[C@H]1O
